,Date,Close
4895,2016-10-26,822.59
4896,2016-10-27,818.36
4897,2016-10-28,776.32
4898,2016-10-31,789.82
4899,2016-11-01,785.41
4900,2016-11-02,765.56
4901,2016-11-03,767.03
4902,2016-11-04,755.05
4903,2016-11-07,784.9301
4904,2016-11-08,787.75
4905,2016-11-09,771.88
4906,2016-11-10,742.38
4907,2016-11-11,739.01
4908,2016-11-14,719.0701
4909,2016-11-15,743.24
4910,2016-11-16,746.49
4911,2016-11-17,756.4001
4912,2016-11-18,760.16
4913,2016-11-21,780.0
4914,2016-11-22,785.33
4915,2016-11-23,780.12
4916,2016-11-25,780.37
4917,2016-11-28,766.77
4918,2016-11-29,762.5201
4919,2016-11-30,750.57
4920,2016-12-01,743.65
4921,2016-12-02,740.34
4922,2016-12-05,759.36
4923,2016-12-06,764.72
4924,2016-12-07,770.42
4925,2016-12-08,767.33
4926,2016-12-09,768.66
4927,2016-12-12,760.12
4928,2016-12-13,774.34
4929,2016-12-14,768.82
4930,2016-12-15,761.0
4931,2016-12-16,757.77
4932,2016-12-19,766.0
4933,2016-12-20,771.22
4934,2016-12-21,770.6
4935,2016-12-22,766.34
4936,2016-12-23,760.59
4937,2016-12-27,771.4001
4938,2016-12-28,772.1301
4939,2016-12-29,765.1501
4940,2016-12-30,749.87
4941,2017-01-03,753.67
4942,2017-01-04,757.18
4943,2017-01-05,780.4501
4944,2017-01-06,795.99
4945,2017-01-09,796.92
4946,2017-01-10,795.9
4947,2017-01-11,799.02
4948,2017-01-12,813.6401
4949,2017-01-13,817.14
4950,2017-01-17,809.72
4951,2017-01-18,807.48
4952,2017-01-19,809.04
4953,2017-01-20,808.33
4954,2017-01-23,817.88
4955,2017-01-24,822.44
4956,2017-01-25,836.52
4957,2017-01-26,839.15
4958,2017-01-27,835.77
4959,2017-01-30,830.38
4960,2017-01-31,823.48
4961,2017-02-01,832.35
4962,2017-02-02,839.95
4963,2017-02-03,810.2
4964,2017-02-06,807.64
4965,2017-02-07,812.5
4966,2017-02-08,819.71
4967,2017-02-09,821.36
4968,2017-02-10,827.46
4969,2017-02-13,836.5301
4970,2017-02-14,836.39
4971,2017-02-15,842.7
4972,2017-02-16,844.14
4973,2017-02-17,845.07
4974,2017-02-21,856.4401
4975,2017-02-22,855.61
4976,2017-02-23,852.19
4977,2017-02-24,845.24
4978,2017-02-27,848.6401
4979,2017-02-28,845.04
4980,2017-03-01,853.0801
4981,2017-03-02,848.91
4982,2017-03-03,849.88
4983,2017-03-06,846.61
4984,2017-03-07,846.02
4985,2017-03-08,850.5
4986,2017-03-09,853.0
4987,2017-03-10,852.46
4988,2017-03-13,854.5901
4989,2017-03-14,852.53
4990,2017-03-15,852.97
4991,2017-03-16,853.42
4992,2017-03-17,852.31
4993,2017-03-20,856.97
4994,2017-03-21,843.2
4995,2017-03-22,848.06
4996,2017-03-23,847.38
4997,2017-03-24,845.61
4998,2017-03-27,846.82
4999,2017-03-28,856.0
5000,2017-03-29,874.32
5001,2017-03-30,876.34
5002,2017-03-31,886.54
5003,2017-04-03,891.51
5004,2017-04-04,906.8301
5005,2017-04-05,909.28
5006,2017-04-06,898.28
5007,2017-04-07,894.88
5008,2017-04-10,907.04
5009,2017-04-11,902.36
5010,2017-04-12,896.23
5011,2017-04-13,884.67
5012,2017-04-17,901.99
5013,2017-04-18,903.78
5014,2017-04-19,899.2001
5015,2017-04-20,902.06
5016,2017-04-21,898.53
5017,2017-04-24,907.41
5018,2017-04-25,907.62
5019,2017-04-26,909.29
5020,2017-04-27,918.3801
5021,2017-04-28,924.99
5022,2017-05-01,948.23
5023,2017-05-02,946.94
5024,2017-05-03,941.03
5025,2017-05-04,937.53
5026,2017-05-05,934.15
5027,2017-05-08,949.04
5028,2017-05-09,952.8201
5029,2017-05-10,948.95
5030,2017-05-11,947.62
5031,2017-05-12,961.35
5032,2017-05-15,957.97
5033,2017-05-16,966.07
5034,2017-05-17,944.7601
5035,2017-05-18,958.49
5036,2017-05-19,959.84
5037,2017-05-22,970.67
5038,2017-05-23,971.54
5039,2017-05-24,980.35
5040,2017-05-25,993.3801
5041,2017-05-26,995.78
5042,2017-05-30,996.7001
5043,2017-05-31,994.62
5044,2017-06-01,995.95
5045,2017-06-02,1006.73
5046,2017-06-05,1011.34
5047,2017-06-06,1003.0
5048,2017-06-07,1010.07
5049,2017-06-08,1010.27
5050,2017-06-09,978.31
5051,2017-06-12,964.91
5052,2017-06-13,980.79
5053,2017-06-14,976.47
5054,2017-06-15,964.17
5055,2017-06-16,987.71
5056,2017-06-19,995.17
5057,2017-06-20,992.59
5058,2017-06-21,1002.23
5059,2017-06-22,1001.3
5060,2017-06-23,1003.74
5061,2017-06-26,993.98
5062,2017-06-27,976.78
5063,2017-06-28,990.33
5064,2017-06-29,975.93
5065,2017-06-30,968.0
5066,2017-07-03,953.66
5067,2017-07-05,971.4001
5068,2017-07-06,965.14
5069,2017-07-07,978.76
5070,2017-07-10,996.47
5071,2017-07-11,994.13
5072,2017-07-12,1006.51
5073,2017-07-13,1000.63
5074,2017-07-14,1001.81
5075,2017-07-17,1010.04
5076,2017-07-18,1024.45
5077,2017-07-19,1026.87
5078,2017-07-20,1028.7
5079,2017-07-21,1025.67
5080,2017-07-24,1038.95
5081,2017-07-25,1039.87
5082,2017-07-26,1052.8
5083,2017-07-27,1046.0
5084,2017-07-28,1020.04
5085,2017-07-31,987.7801
5086,2017-08-01,996.19
5087,2017-08-02,995.89
5088,2017-08-03,986.92
5089,2017-08-04,987.58
5090,2017-08-07,992.27
5091,2017-08-08,989.84
5092,2017-08-09,982.01
5093,2017-08-10,956.92
5094,2017-08-11,967.9901
5095,2017-08-14,983.3
5096,2017-08-15,982.74
5097,2017-08-16,978.18
5098,2017-08-17,960.57
5099,2017-08-18,958.47
5100,2017-08-21,953.29
5101,2017-08-22,966.9
5102,2017-08-23,958.0
5103,2017-08-24,952.45
5104,2017-08-25,945.26
5105,2017-08-28,946.02
5106,2017-08-29,954.06
5107,2017-08-30,967.59
5108,2017-08-31,980.6
5109,2017-09-01,978.2501
5110,2017-09-05,965.27
5111,2017-09-06,967.8
5112,2017-09-07,979.47
5113,2017-09-08,965.9
5114,2017-09-11,977.96
5115,2017-09-12,982.58
5116,2017-09-13,999.6
5117,2017-09-14,992.21
5118,2017-09-15,986.79
5119,2017-09-18,974.19
5120,2017-09-19,969.86
5121,2017-09-20,973.2101
5122,2017-09-21,964.65
5123,2017-09-22,955.1
5124,2017-09-25,939.79
5125,2017-09-26,938.6
5126,2017-09-27,950.87
5127,2017-09-28,956.4001
5128,2017-09-29,961.35
5129,2017-10-02,959.19
5130,2017-10-03,957.1
5131,2017-10-04,965.4501
5132,2017-10-05,980.85
5133,2017-10-06,989.58
5134,2017-10-09,990.99
5135,2017-10-10,987.2
5136,2017-10-11,995.0
5137,2017-10-12,1000.93
5138,2017-10-13,1002.94
5139,2017-10-16,1006.34
5140,2017-10-17,1009.13
5141,2017-10-18,997.0001
5142,2017-10-19,986.61
5143,2017-10-20,982.91
5144,2017-10-23,966.3
5145,2017-10-24,975.9
5146,2017-10-25,972.91
5147,2017-10-26,972.4301
5148,2017-10-27,1100.95
5149,2017-10-30,1110.85
5150,2017-10-31,1105.28
5151,2017-11-01,1103.68
5152,2017-11-02,1094.22
5153,2017-11-03,1111.6
5154,2017-11-06,1120.66
5155,2017-11-07,1123.17
5156,2017-11-08,1132.88
5157,2017-11-09,1129.13
5158,2017-11-10,1125.35
5159,2017-11-13,1129.17
5160,2017-11-14,1136.84
5161,2017-11-15,1126.69
5162,2017-11-16,1137.29
5163,2017-11-17,1129.88
5164,2017-11-20,1126.31
5165,2017-11-21,1139.49
5166,2017-11-22,1156.16
5167,2017-11-24,1186.0
5168,2017-11-27,1195.83
5169,2017-11-28,1193.6
5170,2017-11-29,1161.27
5171,2017-11-30,1176.75
5172,2017-12-01,1162.35
5173,2017-12-04,1133.95
5174,2017-12-05,1141.57
5175,2017-12-06,1152.35
5176,2017-12-07,1159.79
5177,2017-12-08,1162.0
5178,2017-12-11,1168.92
5179,2017-12-12,1165.08
5180,2017-12-13,1164.13
5181,2017-12-14,1174.26
5182,2017-12-15,1179.14
5183,2017-12-18,1190.58
5184,2017-12-19,1187.38
5185,2017-12-20,1177.62
5186,2017-12-21,1174.76
5187,2017-12-22,1168.36
5188,2017-12-26,1176.76
5189,2017-12-27,1182.26
5190,2017-12-28,1186.1
5191,2017-12-29,1169.47
5192,2018-01-02,1189.01
5193,2018-01-03,1204.2
5194,2018-01-04,1209.59
5195,2018-01-05,1229.14
5196,2018-01-08,1246.87
5197,2018-01-09,1252.7
5198,2018-01-10,1254.33
5199,2018-01-11,1276.68
5200,2018-01-12,1305.2
5201,2018-01-16,1304.86
5202,2018-01-17,1295.0
5203,2018-01-18,1293.32
5204,2018-01-19,1294.58
5205,2018-01-22,1327.31
5206,2018-01-23,1362.54
5207,2018-01-24,1357.51
5208,2018-01-25,1377.95
5209,2018-01-26,1402.05
5210,2018-01-29,1417.68
5211,2018-01-30,1437.82
5212,2018-01-31,1450.89
5213,2018-02-01,1390.0
5214,2018-02-02,1429.95
5215,2018-02-05,1390.0
5216,2018-02-06,1442.84
5217,2018-02-07,1416.78
5218,2018-02-08,1350.5
5219,2018-02-09,1339.6
5220,2018-02-12,1386.23
5221,2018-02-13,1414.51
5222,2018-02-14,1451.05
5223,2018-02-15,1461.76
